,Time,Tweet
0,11h,"چئیرمین عمران کے والہانہ استقبال اور اس بڑی تعداد میں شرکت کرنے پر شکریہ ملتان!
 آپ نے اپنے کپتان کو کبھی مایوس نہیں کیا۔ امپورٹڈ حکومت نے انتخابات سے عارضی راہِ فرار ضرور لیا ھے لیکن آخر کب تک؟ جب بھی الیکشن ہوگا جیت عوام کی ہوگی, جیت عمران خان کی ہوگی۔ انشاء اللہ"
1,23h,"ملتان اپنے لیڈر عمران خان کا استقبال کرنے کے لئے تیار ھے۔  آج  اہلِ ملتان پورے پاکستان کو بتا دیں گے کہ ملتان کل بھی کپتان کا تھا،آج بھی ھے اور آنے والے کل بھی کپتان کا رہے گا۔ انشاء اللہ
#MultanJalsa 
@ImranKhanPTI"
2,Sep 7,"This PDM smear campaign against 
@ImranKhanPTI
, attempting to paint him as anti army and judiciary is deeply sinister. Taking channels off air, blocking internet services and 
@YouTube
 during his speeches, to try and deceive the ppl of Pakistan into believing PDM lies, is shameful."
3,Sep 6,"قوم آج تمام دفاعی فورسز کے بہادر سپاہیوں کو خراجِ تحسین پیش کرتی ھے جو جان کی پرواہ کئے بغیر شب و روز وطنِ عزیز پاکستان کے دفاع اور سرحدوں کی حفاظت کے لئے تیار رہتے ہیں۔ ہمیں آپ کی قربانیوں پر فخر ھے۔ 
پاکستان زندہ باد"
4,Aug 30,"Int’l telethon: #ImranKhan collects over Rs5bn for flood victims

#arynews #TelethonByImranKhan #عمران_خان_ٹیلی_تھون_مہم"
5,Aug 30,"چئیرمین 
@ImranKhanPTI
 کی کال پر صرف چند گھنٹوں میں عظیم پاکستانی قوم نے سیلاب زدگان کی امداد کے 500 کروڑ روپے سے زائد وقف کردیئے۔  یہ ھے اس قوم کا جذبہ اور عمران خان کی ایمانداری اور امانت داری پر یقین۔  
#TelethonByImranKhan 
@PTIofficial"
6,Aug 27,"میں تمام مخیر پاکستانیوں سے اپیل کرتا ہوں کہ سیلاب زدگان کی دل کھول کر مدد کریں۔ ھم نے 2005 میں خوفناک زلزلے اور 2010 میں آنے والے سیلاب کے دوران جذبہ ایثار،باہمی مدد اور قومی حمیت کا بہترین مظاہرہ کیا تھا انشا اللہ اس بار بھی ھم سب مل کر اس قدرتی آفت سے نکلیں گے۔
  زندہ باد"
7,Aug 27,چئیرمین عمران خان کی خصوصی ہدایات پر ٹائیگر فورس کے نوجوان ملک بھر میں سیلاب سے متاثرہ علاقوں میں رضاکارانہ خدمات سرانجام دیں گے۔
8,Aug 27,"پاکستان میں سیلاب کی بدترین تباہ کاریوں کے پیشِ نظر چئیرمین عمران خان سیلاب زدگان کی امداد کے لئے فنڈریزنگ  کرنے جا رہے ہیں ۔ اسی سلسلے میں عمران خان mلائیو ٹیلی تھون مین شرکت کرینگے۔ تمام فنڈز کی نگرانی ڈاکٹر ثانیہ نشتر اور
انکی ٹیم کرے گی."
9,Aug 25,"میں مخدوم سید ولایت مصطفٰی گیلانی (سجادہ نشین دربار حضرت موسی پاک شہید رحہ)  انکے خانوادے اور تمام ساتھیوں کا مشکور ہوں جنہوں نے ملتان ضمنی انتخابات میں تحریک انصاف کی حمایت کا اعلان کیا اسکے علاوہ پیر نظام الدین جامی گولڑوی صاحب کا بھی حمایت کے لئے  تہہ دل سے شکریہ۔
#NA157"
10,Aug 25,جنوبی پنجاب، سندھ اور بلوچستان کے کئی علاقے بد ترین سیلابی صورتحال سے دو چار ہیں۔ ہمیں حکومتی سطح پر اور بحیثیتِ قوم اس مشکل وقت میں اپنے پریشان حال ہموطنوں کی بھرپور مدد کرنا ہوگی۔ میں تمام صوبائی حکومتوں سے درخواست کرتا ہوں کہ متاثرین کو ایمرجنسی بنیادوں پر ریلیف مہیا کی جائے۔
11,Aug 25,"پاکستان کی سب سے بڑی اور مقبول ترین سیاسی جماعت کے قائد عمران خان کو سسٹم سے نکالنے اور عوام کی توجہ مہنگائی اور کمزور معیشت سے ہٹانے کی تمام حکومتی کوششیں ناکام ہونگی۔ 

عمران خان پورے پاکستان کے لیڈر ہیں ان کی فائنل کال پر پوری قوم اسلام آباد کا رخ کرے گی۔#PakistanUnderFascism"
12,Aug 22,"شکریہ کراچی!
 این اے 245 ضمنی الیکشن میں شاندار کامیابی پر 
@MoulviMahmood
 اور تمام پارٹی ورکرز کو مبارکباد۔ اگر کسی کو رتی برابر بھی شک ھے تو آج کا انتخاب اس بات کا واضح ثبوت ہے کہ خیبر سے کراچی تک پاکستان کا صرف ایک ہی قومی لیڈر ھے اور اسکا نام ھے 
@ImranKhanPTI"
13,Aug 22,عمران خان ہماری ریڈ لائن ہے۔ سازشیں رچنے والوں کو پوری قوم کے ردعمل کا سامنا کرنا پڑے گا۔
